;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
0;centro universitário da serra gaúcha;administração;9;20710;6920;4279.0;negócios, administração e direito;0.13
1;centro universitário da serra gaúcha;arquitetura e urbanismo;7;5000224;1770;1089.0;engenharia, produção e construção;0.4
2;centro universitário da serra gaúcha;biomedicina;4;5000225;1620;1094.0;saúde e bem-estar;0.25
3;centro universitário da serra gaúcha;ciências contábeis;2;87550;1480;890.0;negócios, administração e direito;0.14
4;centro universitário da serra gaúcha;educação física;1;50265;1540;1007.0;educação;0.06
5;centro universitário da serra gaúcha;enfermagem;4;5000228;750;453.0;saúde e bem-estar;0.53
6;centro universitário da serra gaúcha;engenharia civil;7;1060234;1770;1185.0;engenharia, produção e construção;0.4
7;centro universitário da serra gaúcha;engenharia de produção;12;1059809;2000;1313.0;engenharia, produção e construção;0.6
8;centro universitário da serra gaúcha;nutrição;4;1130277;1110;642.0;saúde e bem-estar;0.36
9;centro universitário da serra gaúcha;odontologia;5;1122568;880;333.0;saúde e bem-estar;0.57
10;centro universitário da serra gaúcha;terapia ocupacional;2;1105219;80;27.0;saúde e bem-estar;2.5
11;centro universitário metodista;administração;7;74816;690;210.0;negócios, administração e direito;1.01
12;centro universitário metodista;arquitetura e urbanismo;17;91286;750;204.0;engenharia, produção e construção;2.27
13;centro universitário metodista;biomedicina;5;75703;520;167.0;saúde e bem-estar;0.96
14;centro universitário metodista;ciências contábeis;2;75715;190;32.0;negócios, administração e direito;1.05
15;centro universitário metodista;comunicação social - publicidade e propaganda;7;75726;490;122.0;negócios, administração e direito;1.43
16;centro universitário metodista;design de interiores;16;115698;740;177.0;artes e humanidades;2.16
17;centro universitário metodista;direito;15;56442;1070;260.0;negócios, administração e direito;1.4
18;centro universitário metodista;educação física;24;83938;1610;420.0;saúde e bem-estar;1.49
19;centro universitário metodista;enfermagem;7;75705;820;196.0;saúde e bem-estar;0.85
20;centro universitário metodista;engenharia civil;17;91288;1070;217.0;engenharia, produção e construção;1.59
21;centro universitário metodista;engenharia de produção;6;91290;530;100.0;engenharia, produção e construção;1.13
22;centro universitário metodista;farmácia;8;75717;360;126.0;saúde e bem-estar;2.22
23;centro universitário metodista;fisioterapia;26;9018;1700;422.0;saúde e bem-estar;1.53
24;centro universitário metodista;música;11;83945;920;198.0;educação;1.2
25;centro universitário metodista;nutrição;13;15762;700;197.0;saúde e bem-estar;1.86
26;centro universitário metodista;psicologia;11;110300;790;232.0;ciências sociais, comunicação e informação;1.39
27;centro universitário metodista;serviço social;10;75728;220;26.0;saúde e bem-estar;4.55
28;centro universitário ritter dos reis;administração;18;8548;7530;2984.0;negócios, administração e direito;0.24
29;centro universitário ritter dos reis;análise e desenvolvimento de sistemas;6;103549;580;277.0;computação e tecnologias da informação e comunicação (tic);1.03
30;centro universitário ritter dos reis;arquitetura e urbanismo;17;9264;3600;1094.0;engenharia, produção e construção;0.47
31;centro universitário ritter dos reis;biomedicina;6;1166231;1130;492.0;saúde e bem-estar;0.53
32;centro universitário ritter dos reis;direito;102;9263;15070;4665.0;negócios, administração e direito;0.68
33;centro universitário ritter dos reis;engenharia civil;18;1130130;2080;717.0;engenharia, produção e construção;0.87
34;centro universitário ritter dos reis;engenharia de produção;6;1169140;660;400.0;engenharia, produção e construção;0.91
35;centro universitário ritter dos reis;engenharia mecânica;6;1169139;1090;592.0;engenharia, produção e construção;0.55
36;centro universitário ritter dos reis;fisioterapia;6;1166454;1360;644.0;saúde e bem-estar;0.44
37;centro universitário ritter dos reis;jornalismo;12;1168946;1640;534.0;ciências sociais, comunicação e informação;0.73
38;centro universitário ritter dos reis;letras - inglês;5;32142;500;222.0;educação;1.0
39;centro universitário ritter dos reis;pedagogia;9;8535;1800;647.0;educação;0.5
40;centro universitário ritter dos reis;publicidade e propaganda;12;1169004;2050;742.0;negócios, administração e direito;0.59
41;centro universitário ritter dos reis;relações internacionais;10;1133632;1560;737.0;ciências sociais, comunicação e informação;0.64
42;centro universitário ritter dos reis;sistemas de informação;7;22020;820;401.0;computação e tecnologias da informação e comunicação (tic);0.85
43;centro universitário uniftec;administração;9;1122184;620;345.0;negócios, administração e direito;1.45
44;centro universitário uniftec;análise e desenvolvimento de sistemas;8;60168;700;339.0;computação e tecnologias da informação e comunicação (tic);1.14
45;centro universitário uniftec;ciências contábeis;7;1043151;350;175.0;negócios, administração e direito;2.0
46;centro universitário uniftec;comércio exterior;8;101157;240;100.0;negócios, administração e direito;3.33
47;centro universitário uniftec;design de moda;5;1048077;330;132.0;artes e humanidades;1.52
48;centro universitário uniftec;design de produto;6;122384;350;154.0;artes e humanidades;1.71
49;centro universitário uniftec;engenharia civil;6;1108450;750;373.0;engenharia, produção e construção;0.8
50;centro universitário uniftec;engenharia de computação;9;119335;380;231.0;engenharia, produção e construção;2.37
51;centro universitário uniftec;engenharia de produção;12;119339;1030;506.0;engenharia, produção e construção;1.17
52;centro universitário uniftec;engenharia elétrica;10;1154623;720;287.0;engenharia, produção e construção;1.39
53;centro universitário uniftec;engenharia mecânica;12;1108433;1520;663.0;engenharia, produção e construção;0.79
54;centro universitário uniftec;gestão ambiental;2;1077731;260;106.0;engenharia, produção e construção;0.77
55;centro universitário uniftec;gestão comercial;8;104048;560;224.0;negócios, administração e direito;1.43
56;centro universitário uniftec;gestão da qualidade;6;102103;640;262.0;negócios, administração e direito;0.94
57;centro universitário uniftec;gestão da tecnologia da informação;4;75921;370;134.0;computação e tecnologias da informação e comunicação (tic);1.08
58;centro universitário uniftec;gestão de recursos humanos;9;101151;680;253.0;negócios, administração e direito;1.32
59;centro universitário uniftec;gestão financeira;8;101192;380;129.0;negócios, administração e direito;2.11
60;centro universitário uniftec;logística;10;107984;780;358.0;negócios, administração e direito;1.28
61;centro universitário uniftec;marketing;6;101155;530;188.0;negócios, administração e direito;1.13
62;centro universitário uniftec;processos gerenciais;5;1104027;510;199.0;negócios, administração e direito;0.98
63;centro universitário uniftec;produção multimídia;6;1074227;400;157.0;artes e humanidades;1.5
64;centro universitário uniftec;redes de computadores;6;75917;420;215.0;computação e tecnologias da informação e comunicação (tic);1.43
65;faculdade américa latina;administração;6;116818;590;480.0;negócios, administração e direito;1.02
66;faculdade américa latina;design;8;87254;1060;833.0;artes e humanidades;0.75
67;faculdade anglicana de erechim;administração;2;103860;610;165.0;negócios, administração e direito;0.33
68;faculdade anglicana de erechim;análise e desenvolvimento de sistemas;2;97206;420;160.0;computação e tecnologias da informação e comunicação (tic);0.48
69;faculdade anglicana de erechim;ciências contábeis;5;1100620;630;121.0;negócios, administração e direito;0.79
