,instituicao,qtd_bolsas_parciais,qtd_bolsas_integrais,cod_estado,qtd_ingressantes,grande_area,qtd_desistencias,qtd_total_bolsas,percentual_bolsas_parciais,percentual_bolsas_integrais,percentual_total_bolsas,taxa_desistencia_acumulada
25,centro universitario do norte,85,167,13,2490,computacao e tecnologias da informacao e comunicacao (tic),1907,252,33.73,66.27,10.12,76.59
104,instituto de ensino superior fucapi,47,22,13,332,computacao e tecnologias da informacao e comunicacao (tic),234,69,68.12,31.88,20.78,70.48
23,centro universitario do estado do para,0,34,15,302,computacao e tecnologias da informacao e comunicacao (tic),157,34,0.0,100.0,11.26,51.99
125,universidade da amazonia,19,22,15,454,computacao e tecnologias da informacao e comunicacao (tic),274,41,46.34,53.66,9.03,60.35
73,faculdade brasil norte,0,23,16,316,computacao e tecnologias da informacao e comunicacao (tic),260,23,0.0,100.0,7.28,82.28
38,centro universitario luterano de palmas,0,135,17,356,computacao e tecnologias da informacao e comunicacao (tic),245,135,0.0,100.0,37.92,68.82
101,instituto de ensino e pesquisa objetivo,0,4,17,57,computacao e tecnologias da informacao e comunicacao (tic),48,4,0.0,100.0,7.02,84.21
92,faculdade pitagoras de sao luiz,0,315,21,1477,computacao e tecnologias da informacao e comunicacao (tic),777,315,0.0,100.0,21.33,52.61
79,faculdade de educacao sao francisco,5,3,21,30,computacao e tecnologias da informacao e comunicacao (tic),19,8,62.5,37.5,26.67,63.33
86,faculdade estacio de teresina,0,59,22,735,computacao e tecnologias da informacao e comunicacao (tic),359,59,0.0,100.0,8.03,48.84
100,instituto de educacao superior raimundo sa,0,46,22,114,computacao e tecnologias da informacao e comunicacao (tic),60,46,0.0,100.0,40.35,52.63
87,faculdade lourenco filho,0,1,23,24,computacao e tecnologias da informacao e comunicacao (tic),18,1,0.0,100.0,4.17,75.0
33,centro universitario farias brito,0,9,23,146,computacao e tecnologias da informacao e comunicacao (tic),98,9,0.0,100.0,6.16,67.12
80,faculdade de fortaleza,0,1,23,16,computacao e tecnologias da informacao e comunicacao (tic),16,1,0.0,100.0,6.25,100.0
13,centro universitario da grande fortaleza,0,3,23,12,computacao e tecnologias da informacao e comunicacao (tic),8,3,0.0,100.0,25.0,66.67
106,instituto paraibano de ensino renovado,0,18,25,393,computacao e tecnologias da informacao e comunicacao (tic),314,18,0.0,100.0,4.58,79.9
20,centro universitario de joao pessoa,35,109,25,1171,computacao e tecnologias da informacao e comunicacao (tic),782,144,24.31,75.69,12.3,66.78
83,faculdade de tecnologia e ciencias de pernambuco,12,6,26,33,computacao e tecnologias da informacao e comunicacao (tic),21,18,66.67,33.33,54.55,63.64
107,instituto pernambucano de ensino superior,0,8,26,59,computacao e tecnologias da informacao e comunicacao (tic),45,8,0.0,100.0,13.56,76.27
35,centro universitario fbv wyden,27,0,26,81,computacao e tecnologias da informacao e comunicacao (tic),50,27,100.0,0.0,33.33,61.73
34,centro universitario favip wyden,24,1,26,99,computacao e tecnologias da informacao e comunicacao (tic),53,25,96.0,4.0,25.25,53.54
28,centro universitario dos guararapes,0,7,26,542,computacao e tecnologias da informacao e comunicacao (tic),315,7,0.0,100.0,1.29,58.12
88,faculdade nova roma,80,55,26,359,computacao e tecnologias da informacao e comunicacao (tic),247,135,59.26,40.74,37.6,68.8
39,centro universitario mauricio de nassau,0,12,26,298,computacao e tecnologias da informacao e comunicacao (tic),189,12,0.0,100.0,4.03,63.42
121,universidade catolica de pernambuco,0,104,26,1145,computacao e tecnologias da informacao e comunicacao (tic),735,104,0.0,100.0,9.08,64.19
85,faculdade do recife,0,12,26,88,computacao e tecnologias da informacao e comunicacao (tic),59,12,0.0,100.0,13.64,67.05
103,instituto de ensino superior de alagoas,0,15,27,82,computacao e tecnologias da informacao e comunicacao (tic),62,15,0.0,100.0,18.29,75.61
52,centro universitario tiradentes,0,13,27,161,computacao e tecnologias da informacao e comunicacao (tic),85,13,0.0,100.0,8.07,52.8
74,faculdade da cidade de maceio,0,7,27,111,computacao e tecnologias da informacao e comunicacao (tic),86,7,0.0,100.0,6.31,77.48
154,universidade tiradentes,0,62,28,817,computacao e tecnologias da informacao e comunicacao (tic),455,62,0.0,100.0,7.59,55.69
93,faculdade pitagoras de teixeira de freitas,0,50,29,240,computacao e tecnologias da informacao e comunicacao (tic),148,50,0.0,100.0,20.83,61.67
46,centro universitario ruy barbosa wyden,41,0,29,67,computacao e tecnologias da informacao e comunicacao (tic),49,41,100.0,0.0,61.19,73.13
151,universidade salvador,0,69,29,962,computacao e tecnologias da informacao e comunicacao (tic),673,69,0.0,100.0,7.17,69.96
44,centro universitario presidente antonio carlos,5,8,31,37,computacao e tecnologias da informacao e comunicacao (tic),21,13,38.46,61.54,35.14,56.76
89,faculdade pitagoras de belo horizonte,0,42,31,380,computacao e tecnologias da informacao e comunicacao (tic),233,42,0.0,100.0,11.05,61.32
90,faculdade pitagoras de betim,0,60,31,464,computacao e tecnologias da informacao e comunicacao (tic),253,60,0.0,100.0,12.93,54.53
95,faculdade unica de ipatinga,12,25,31,358,computacao e tecnologias da informacao e comunicacao (tic),171,37,32.43,67.57,10.34,47.77
96,faculdades doctum de caratinga,5,3,31,36,computacao e tecnologias da informacao e comunicacao (tic),20,8,62.5,37.5,22.22,55.56
16,centro universitario de belo horizonte,100,75,31,1433,computacao e tecnologias da informacao e comunicacao (tic),973,175,57.14,42.86,12.21,67.9
10,centro universitario da fundacao educacional guaxupe,0,19,31,277,computacao e tecnologias da informacao e comunicacao (tic),144,19,0.0,100.0,6.86,51.99
110,pontificia universidade catolica de minas gerais,288,279,31,1776,computacao e tecnologias da informacao e comunicacao (tic),982,567,50.79,49.21,31.93,55.29
129,universidade de itauna,0,27,31,267,computacao e tecnologias da informacao e comunicacao (tic),135,27,0.0,100.0,10.11,50.56
144,universidade jose do rosario vellano,0,32,31,387,computacao e tecnologias da informacao e comunicacao (tic),236,32,0.0,100.0,8.27,60.98
27,centro universitario do sul de minas,17,5,31,205,computacao e tecnologias da informacao e comunicacao (tic),112,22,77.27,22.73,10.73,54.63
91,faculdade pitagoras de guarapari,0,35,32,240,computacao e tecnologias da informacao e comunicacao (tic),128,35,0.0,100.0,14.58,53.33
158,universidade vila velha,0,10,32,457,computacao e tecnologias da informacao e comunicacao (tic),268,10,0.0,100.0,2.19,58.64
15,centro universitario de barra mansa,0,12,33,21,computacao e tecnologias da informacao e comunicacao (tic),2,12,0.0,100.0,57.14,9.52
3,centro universitario anhanguera de niteroi,0,3,33,138,computacao e tecnologias da informacao e comunicacao (tic),40,3,0.0,100.0,2.17,28.99
9,centro universitario da cidade,0,16,33,109,computacao e tecnologias da informacao e comunicacao (tic),109,16,0.0,100.0,14.68,100.0
50,centro universitario serra dos orgaos,0,43,33,350,computacao e tecnologias da informacao e comunicacao (tic),204,43,0.0,100.0,12.29,58.29
157,universidade veiga de almeida,53,96,33,2274,computacao e tecnologias da informacao e comunicacao (tic),1232,149,35.57,64.43,6.55,54.18
118,universidade candido mendes,0,15,33,167,computacao e tecnologias da informacao e comunicacao (tic),95,15,0.0,100.0,8.98,56.89
55,centro universitario unicarioca,0,78,33,730,computacao e tecnologias da informacao e comunicacao (tic),450,78,0.0,100.0,10.68,61.64
142,universidade gama filho,0,62,33,528,computacao e tecnologias da informacao e comunicacao (tic),525,62,0.0,100.0,11.74,99.43
113,pontificia universidade catolica do rio de janeiro,0,46,33,488,computacao e tecnologias da informacao e comunicacao (tic),282,46,0.0,100.0,9.43,57.79
0,centro universitario adventista de sao paulo,0,30,35,372,computacao e tecnologias da informacao e comunicacao (tic),176,30,0.0,100.0,8.06,47.31
98,"fatece - faculdade de tecnologia, ciencias e educacao",0,28,35,218,computacao e tecnologias da informacao e comunicacao (tic),127,28,0.0,100.0,12.84,58.26
97,faculdades integradas de bauru,7,4,35,64,computacao e tecnologias da informacao e comunicacao (tic),41,11,63.64,36.36,17.19,64.06
146,universidade nove de julho,222,371,35,10167,computacao e tecnologias da informacao e comunicacao (tic),6669,593,37.44,62.56,5.83,65.59
