,instituicao,qtd_bolsas_parciais,qtd_bolsas_integrais,cod_estado,qtd_ingressantes,grande_area,qtd_desistencias,qtd_total_bolsas,percentual_bolsas_parciais,percentual_bolsas_integrais,percentual_total_bolsas,taxa_desistencia_acumulada
50,faculdade sapiens,0,4,11,47,"engenharia, producao e construcao",28,4,0.0,100.0,8.51,59.57
12,centro universitario do norte,0,42,13,340,"engenharia, producao e construcao",227,42,0.0,100.0,12.35,66.76
52,instituto de ensino superior fucapi,46,20,13,429,computacao e tecnologias da informacao e comunicacao (tic),277,66,69.7,30.3,15.38,64.57
44,faculdade estacio de belem - estacio belem,52,62,15,1139,"engenharia, producao e construcao",779,114,45.61,54.39,10.01,68.39
10,centro universitario do estado do para,0,18,15,293,"engenharia, producao e construcao",161,18,0.0,100.0,6.14,54.95
39,faculdade de tecnologia do amapa,0,13,16,169,"engenharia, producao e construcao",63,13,0.0,100.0,7.69,37.28
63,universidade ceuma,81,13,21,156,computacao e tecnologias da informacao e comunicacao (tic),112,94,86.17,13.83,60.26,71.79
79,universidade potiguar,17,35,24,475,"engenharia, producao e construcao",308,52,32.69,67.31,10.95,64.84
21,centro universitario mauricio de nassau,0,40,26,181,"engenharia, producao e construcao",131,40,0.0,100.0,22.1,72.38
40,faculdade de tecnologia ibratec,0,8,26,82,"engenharia, producao e construcao",81,8,0.0,100.0,9.76,98.78
17,centro universitario fbv wyden,0,2,26,4,"engenharia, producao e construcao",2,2,0.0,100.0,50.0,50.0
80,universidade salvador,0,60,29,836,"engenharia, producao e construcao",628,60,0.0,100.0,7.18,75.12
29,centro universitario unirb,1,1,29,5,"engenharia, producao e construcao",5,2,50.0,50.0,40.0,100.0
51,faculdade unime de ciencias exatas e tecnologicas,0,3,29,65,computacao e tecnologias da informacao e comunicacao (tic),54,3,0.0,100.0,4.62,83.08
46,faculdade independente do nordeste,115,64,29,462,"engenharia, producao e construcao",324,179,64.25,35.75,38.74,70.13
37,faculdade de ciencia e tecnologia de montes claros,0,39,31,405,"engenharia, producao e construcao",259,39,0.0,100.0,9.63,63.95
26,centro universitario una,14,32,31,780,"engenharia, producao e construcao",582,46,30.43,69.57,5.9,74.62
56,pontificia universidade catolica de minas gerais,127,110,31,668,computacao e tecnologias da informacao e comunicacao (tic),422,237,53.59,46.41,35.48,63.17
71,universidade de uberaba,0,72,31,421,"engenharia, producao e construcao",261,72,0.0,100.0,17.1,62.0
49,faculdade presidente antonio carlos de conselheiro lafaiete,0,27,31,251,computacao e tecnologias da informacao e comunicacao (tic),167,27,0.0,100.0,10.76,66.53
41,faculdade do centro leste,27,22,32,112,"engenharia, producao e construcao",82,49,55.1,44.9,43.75,73.21
27,centro universitario unicarioca,0,25,33,126,"engenharia, producao e construcao",68,25,0.0,100.0,19.84,53.97
53,instituto infnet rio de janeiro,63,17,33,313,computacao e tecnologias da informacao e comunicacao (tic),213,80,78.75,21.25,25.56,68.05
57,pontificia universidade catolica do rio de janeiro,0,46,33,760,computacao e tecnologias da informacao e comunicacao (tic),380,46,0.0,100.0,6.05,50.0
61,universidade catolica de petropolis,0,32,33,246,computacao e tecnologias da informacao e comunicacao (tic),60,32,0.0,100.0,13.01,24.39
74,universidade estacio de sa,0,7,33,89,"engenharia, producao e construcao",56,7,0.0,100.0,7.87,62.92
83,universidade veiga de almeida,42,68,33,1169,"engenharia, producao e construcao",677,110,38.18,61.82,9.41,57.91
5,centro universitario de barra mansa,0,8,33,33,"engenharia, producao e construcao",12,8,0.0,100.0,24.24,36.36
14,centro universitario estacio de ribeirao preto,0,25,35,175,"engenharia, producao e construcao",123,25,0.0,100.0,14.29,70.29
13,centro universitario do norte paulista,17,11,35,89,"engenharia, producao e construcao",63,28,60.71,39.29,31.46,70.79
9,centro universitario de votuporanga,2,11,35,179,"engenharia, producao e construcao",89,13,15.38,84.62,7.26,49.72
54,pontificia universidade catolica de campinas,0,74,35,676,computacao e tecnologias da informacao e comunicacao (tic),301,74,0.0,100.0,10.95,44.53
8,centro universitario de lins,4,24,35,200,"engenharia, producao e construcao",130,28,14.29,85.71,14.0,65.0
59,uniao das faculdades dos grandes lagos,1,0,35,15,"engenharia, producao e construcao",13,1,100.0,0.0,6.67,86.67
60,universidade anhembi morumbi,0,46,35,691,"engenharia, producao e construcao",373,46,0.0,100.0,6.66,53.98
6,centro universitario de excelencia eniac,0,14,35,134,"engenharia, producao e construcao",79,14,0.0,100.0,10.45,58.96
15,centro universitario etep,0,10,35,83,computacao e tecnologias da informacao e comunicacao (tic),55,10,0.0,100.0,12.05,66.27
24,centro universitario senac,14,7,35,201,"engenharia, producao e construcao",135,21,66.67,33.33,10.45,67.16
65,universidade de araraquara,20,7,35,396,"engenharia, producao e construcao",266,27,74.07,25.93,6.82,67.17
69,universidade de ribeirao preto,36,39,35,280,computacao e tecnologias da informacao e comunicacao (tic),168,75,48.0,52.0,26.79,60.0
3,centro universitario central paulista,32,23,35,478,"engenharia, producao e construcao",336,55,58.18,41.82,11.51,70.29
76,universidade metodista de sao paulo,0,16,35,130,computacao e tecnologias da informacao e comunicacao (tic),43,16,0.0,100.0,12.31,33.08
77,universidade paulista,0,164,35,2576,"engenharia, producao e construcao",2148,164,0.0,100.0,6.37,83.39
2,centro universitario anhanguera de sao paulo,0,6,35,224,computacao e tecnologias da informacao e comunicacao (tic),206,6,0.0,100.0,2.68,91.96
