;instituicao;curso;qtd_bolsas;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;abeu - centro universitario;administracao;9;33.0;335;209;negocios, administracao e direito;2.69;62.39
1;abeu - centro universitario;analise e desenvolvimento de sistemas;10;33.0;169;107;computacao e tecnologias da informacao e comunicacao (tic);5.92;63.31
2;abeu - centro universitario;ciencias contabeis;3;33.0;100;57;negocios, administracao e direito;3.0;57.0
3;abeu - centro universitario;direito;8;33.0;241;144;negocios, administracao e direito;3.32;59.75
4;abeu - centro universitario;educacao fisica;8;33.0;272;153;educacao;2.94;56.25
5;abeu - centro universitario;enfermagem;9;33.0;310;174;saude e bem-estar;2.9;56.13
6;abeu - centro universitario;farmacia;8;33.0;211;110;saude e bem-estar;3.79;52.13
7;abeu - centro universitario;fisioterapia;2;33.0;19;15;saude e bem-estar;10.53;78.95
8;abeu - centro universitario;gestao de recursos humanos;5;33.0;192;101;negocios, administracao e direito;2.6;52.6
9;abeu - centro universitario;historia;2;33.0;112;59;educacao;1.79;52.68
10;abeu - centro universitario;letras;27;33.0;174;96;educacao;15.52;55.17
11;abeu - centro universitario;matematica;2;33.0;85;50;educacao;2.35;58.82
12;abeu - centro universitario;pedagogia;22;33.0;162;81;educacao;13.58;50.0
13;abeu - centro universitario;psicologia;8;33.0;105;59;ciencias sociais, comunicacao e informacao;7.62;56.19
14;abeu - centro universitario;servico social;5;33.0;111;73;saude e bem-estar;4.5;65.77
15;centro de ensino superior de ilheus;administracao;12;29.0;109;92;negocios, administracao e direito;11.01;84.4
16;centro de ensino superior de ilheus;ciencias contabeis;25;29.0;84;58;negocios, administracao e direito;29.76;69.05
17;centro de ensino superior de ilheus;direito;13;29.0;218;158;negocios, administracao e direito;5.96;72.48
18;centro de ensino superior de ilheus;enfermagem;20;29.0;150;104;saude e bem-estar;13.33;69.33
19;centro de ensino superior de ilheus;nutricao;23;29.0;116;86;saude e bem-estar;19.83;74.14
20;centro de ensino superior de juiz de fora;design de moda;3;31.0;72;52;artes e humanidades;4.17;72.22
21;centro de ensino superior de juiz de fora;gastronomia;13;31.0;250;94;servicos;5.2;37.6
22;centro de ensino superior de vitoria;direito;5;32.0;32;23;negocios, administracao e direito;15.62;71.88
23;centro de ensino superior de vitoria;letras - ingles;5;32.0;6;4;educacao;83.33;66.67
24;centro de ensino superior de vitoria;letras - lingua portuguesa;5;32.0;26;20;educacao;19.23;76.92
25;centro de ensino superior do amapa;administracao;22;16.0;116;84;negocios, administracao e direito;18.97;72.41
26;centro de ensino superior do amapa;arquitetura e urbanismo;4;16.0;164;123;engenharia, producao e construcao;2.44;75.0
27;centro de ensino superior do amapa;ciencias contabeis;2;16.0;63;52;negocios, administracao e direito;3.17;82.54
