instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;2;35;47;28;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;59.57
centro universitario anhanguera;ciencia da computacao;0;6;35;58;30;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;51.72
centro universitario barao de maua;ciencia da computacao;4;2;35;29;16;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;66.67;33.33;55.17
centro universitario campos de andrade;ciencia da computacao;34;0;41;67;44;computacao e tecnologias da informacao e comunicacao (tic);34;0.28;100.0;0.0;65.67
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;2;31;42;20;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;47.62
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;13;35;77;42;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;54.55
centro universitario da grande dourados;ciencia da computacao;3;4;50;57;44;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;42.86;57.14;77.19
centro universitario das faculdades metropolitanas unidas;ciencia da computacao;0;22;35;341;220;computacao e tecnologias da informacao e comunicacao (tic);22;0.18;0.0;100.0;64.52
centro universitario de belo horizonte;ciencia da computacao;0;15;31;232;165;computacao e tecnologias da informacao e comunicacao (tic);15;0.12;0.0;100.0;71.12
centro universitario de brasilia;ciencia da computacao;0;24;53;178;44;computacao e tecnologias da informacao e comunicacao (tic);24;0.2;0.0;100.0;24.72
centro universitario de joao pessoa;ciencia da computacao;5;8;25;121;69;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;38.46;61.54;57.02
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;7;3;53;99;75;computacao e tecnologias da informacao e comunicacao (tic);10;0.08;70.0;30.0;75.76
centro universitario do norte;ciencia da computacao;0;26;13;230;165;computacao e tecnologias da informacao e comunicacao (tic);26;0.21;0.0;100.0;71.74
centro universitario estacio de ribeirao preto;ciencia da computacao;0;4;35;26;17;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;65.38
centro universitario euripedes de marilia;ciencia da computacao;8;2;35;45;16;computacao e tecnologias da informacao e comunicacao (tic);10;0.08;80.0;20.0;35.56
centro universitario filadelfia;ciencia da computacao;0;6;41;84;67;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;79.76
centro universitario luterano de palmas;ciencia da computacao;0;32;17;59;47;computacao e tecnologias da informacao e comunicacao (tic);32;0.26;0.0;100.0;79.66
centro universitario nossa senhora do patrocinio;ciencia da computacao;0;9;35;43;27;computacao e tecnologias da informacao e comunicacao (tic);9;0.07;0.0;100.0;62.79
centro universitario ritter dos reis;ciencia da computacao;0;11;43;76;48;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;63.16
