;instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
0;centro universitario adventista de sao paulo;ciencia da computacao;0;6;35.0;48;21;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;43.75
1;centro universitario anhanguera;ciencia da computacao;0;3;35.0;35;30;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;85.71
2;centro universitario barao de maua;ciencia da computacao;2;1;35.0;19;10;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;52.63
3;centro universitario campos de andrade;ciencia da computacao;24;0;41.0;39;22;computacao e tecnologias da informacao e comunicacao (tic);24;0.23;100.0;0.0;56.41
4;centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;1;31.0;25;14;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;56.0
5;centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;29;35.0;104;42;computacao e tecnologias da informacao e comunicacao (tic);29;0.28;0.0;100.0;40.38
6;centro universitario das faculdades metropolitanas unidas;ciencia da computacao;0;26;35.0;245;172;computacao e tecnologias da informacao e comunicacao (tic);26;0.25;0.0;100.0;70.2
7;centro universitario de belo horizonte;ciencia da computacao;32;8;31.0;125;75;computacao e tecnologias da informacao e comunicacao (tic);40;0.39;80.0;20.0;60.0
8;centro universitario de joao pessoa;ciencia da computacao;0;14;25.0;133;81;computacao e tecnologias da informacao e comunicacao (tic);14;0.14;0.0;100.0;60.9
9;centro universitario de rio preto;ciencia da computacao;0;2;35.0;24;12;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;50.0
10;centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;7;2;53.0;120;98;computacao e tecnologias da informacao e comunicacao (tic);9;0.09;77.78;22.22;81.67
11;centro universitario do norte;ciencia da computacao;0;26;13.0;157;127;computacao e tecnologias da informacao e comunicacao (tic);26;0.25;0.0;100.0;80.89
12;centro universitario estacio de ribeirao preto;ciencia da computacao;0;8;35.0;88;57;computacao e tecnologias da informacao e comunicacao (tic);8;0.08;0.0;100.0;64.77
13;centro universitario euripedes de marilia;ciencia da computacao;2;2;35.0;31;16;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;50.0;50.0;51.61
14;centro universitario filadelfia;ciencia da computacao;0;3;41.0;49;23;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;46.94
15;centro universitario luterano de palmas;ciencia da computacao;0;15;17.0;44;28;computacao e tecnologias da informacao e comunicacao (tic);15;0.15;0.0;100.0;63.64
16;centro universitario mauricio de nassau;ciencia da computacao;0;3;26.0;97;61;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;62.89
17;centro universitario nossa senhora do patrocinio;ciencia da computacao;0;1;35.0;101;66;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;65.35
18;centro universitario padre anchieta;ciencia da computacao;0;1;35.0;39;32;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;82.05
19;centro universitario ritter dos reis;ciencia da computacao;0;7;43.0;192;105;computacao e tecnologias da informacao e comunicacao (tic);7;0.07;0.0;100.0;54.69
20;centro universitario salesiano de sao paulo;ciencia da computacao;0;5;35.0;22;15;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;68.18
21;centro universitario senac;ciencia da computacao;1;2;35.0;50;34;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;33.33;66.67;68.0
22;centro universitario serra dos orgaos;ciencia da computacao;0;6;33.0;44;27;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;61.36
23;faculdade anhanguera de anapolis;ciencia da computacao;0;4;52.0;9;9;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;100.0
24;faculdade anhanguera de indaiatuba;ciencia da computacao;0;1;35.0;56;49;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;87.5
25;faculdade anhanguera de jundiai;ciencia da computacao;0;3;35.0;70;54;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;77.14
26;faculdade anhanguera de limeira;ciencia da computacao;0;2;35.0;42;28;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;66.67
27;faculdade anhanguera de rio claro;ciencia da computacao;0;1;35.0;66;59;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;89.39
28;faculdade anhanguera de taubate;ciencia da computacao;0;3;35.0;72;47;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;65.28
29;faculdade anhanguera de bauru;ciencia da computacao;0;3;35.0;78;62;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;79.49
30;faculdade anhanguera de campinas;ciencia da computacao;0;5;35.0;266;185;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;69.55
31;faculdade anhanguera de piracicaba;ciencia da computacao;0;3;35.0;42;27;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;64.29
32;faculdade anhanguera de ribeirao preto;ciencia da computacao;0;2;35.0;65;54;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;83.08
33;faculdade anhanguera de sao jose;ciencia da computacao;0;1;35.0;32;26;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;81.25
34;faculdade brasil norte;ciencia da computacao;0;1;16.0;16;16;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
35;faculdade de americana;ciencia da computacao;0;3;35.0;56;34;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;60.71
36;faculdade de economia e processamento de dados de foz do iguacu;ciencia da computacao;0;1;41.0;4;4;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
37;faculdade nova roma;ciencia da computacao;11;0;26.0;37;33;computacao e tecnologias da informacao e comunicacao (tic);11;0.11;100.0;0.0;89.19
38;faculdade sao francisco de assis;ciencia da computacao;1;1;43.0;13;13;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;50.0;50.0;100.0
39;faculdade unica de ipatinga;ciencia da computacao;2;0;31.0;48;10;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;100.0;0.0;20.83
40;faculdades integradas de bauru;ciencia da computacao;4;1;35.0;29;18;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;80.0;20.0;62.07
41;fatece - faculdade de tecnologia, ciencias e educacao;ciencia da computacao;0;3;35.0;27;17;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;62.96
42;instituto de educacao superior raimundo sa;ciencia da computacao;0;5;22.0;9;5;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;55.56
43;instituto de ensino superior da grande florianopolis;ciencia da computacao;0;1;42.0;6;4;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;66.67
44;instituto paraibano de ensino renovado;ciencia da computacao;0;1;25.0;5;4;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;80.0
45;pontificia universidade catolica de goias;ciencia da computacao;0;14;52.0;162;103;computacao e tecnologias da informacao e comunicacao (tic);14;0.14;0.0;100.0;63.58
46;pontificia universidade catolica de minas gerais;ciencia da computacao;27;44;31.0;241;131;computacao e tecnologias da informacao e comunicacao (tic);71;0.69;38.03;61.97;54.36
47;pontificia universidade catolica de sao paulo;ciencia da computacao;0;10;35.0;64;27;computacao e tecnologias da informacao e comunicacao (tic);10;0.1;0.0;100.0;42.19
48;pontificia universidade catolica do parana;ciencia da computacao;10;7;41.0;49;32;computacao e tecnologias da informacao e comunicacao (tic);17;0.17;58.82;41.18;65.31
49;pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;5;33.0;54;25;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;46.3
50;pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;18;43.0;122;83;computacao e tecnologias da informacao e comunicacao (tic);18;0.18;0.0;100.0;68.03
51;universidade anhembi morumbi;ciencia da computacao;0;26;35.0;196;94;computacao e tecnologias da informacao e comunicacao (tic);26;0.25;0.0;100.0;47.96
52;universidade catolica de brasilia;ciencia da computacao;0;7;53.0;74;45;computacao e tecnologias da informacao e comunicacao (tic);7;0.07;0.0;100.0;60.81
53;universidade catolica de pernambuco;ciencia da computacao;0;21;26.0;136;84;computacao e tecnologias da informacao e comunicacao (tic);21;0.2;0.0;100.0;61.76
54;universidade catolica de santos;ciencia da computacao;0;6;35.0;34;24;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;70.59
55;universidade cidade de sao paulo;ciencia da computacao;17;8;35.0;209;144;computacao e tecnologias da informacao e comunicacao (tic);25;0.24;68.0;32.0;68.9
56;universidade cruzeiro do sul;ciencia da computacao;12;9;35.0;218;170;computacao e tecnologias da informacao e comunicacao (tic);21;0.2;57.14;42.86;77.98
57;universidade da amazonia;ciencia da computacao;0;1;15.0;75;32;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;42.67
58;universidade de caxias do sul;ciencia da computacao;0;6;43.0;65;46;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;70.77
59;universidade de cruz alta;ciencia da computacao;0;11;43.0;18;10;computacao e tecnologias da informacao e comunicacao (tic);11;0.11;0.0;100.0;55.56
60;universidade de franca;ciencia da computacao;7;1;35.0;83;61;computacao e tecnologias da informacao e comunicacao (tic);8;0.08;87.5;12.5;73.49
61;universidade de itauna;ciencia da computacao;0;1;31.0;25;11;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;44.0
62;universidade de passo fundo;ciencia da computacao;18;12;43.0;36;21;computacao e tecnologias da informacao e comunicacao (tic);30;0.29;60.0;40.0;58.33
63;universidade de santa cruz do sul;ciencia da computacao;0;5;43.0;72;44;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;61.11
64;universidade do extremo sul catarinense;ciencia da computacao;0;9;42.0;71;25;computacao e tecnologias da informacao e comunicacao (tic);9;0.09;0.0;100.0;35.21
65;universidade do oeste de santa catarina;ciencia da computacao;20;11;42.0;74;42;computacao e tecnologias da informacao e comunicacao (tic);31;0.3;64.52;35.48;56.76
66;universidade do oeste paulista;ciencia da computacao;0;42;35.0;56;21;computacao e tecnologias da informacao e comunicacao (tic);42;0.41;0.0;100.0;37.5
67;universidade do sul de santa catarina;ciencia da computacao;0;15;42.0;88;60;computacao e tecnologias da informacao e comunicacao (tic);15;0.15;0.0;100.0;68.18
68;universidade do vale do itajai;ciencia da computacao;0;56;42.0;174;117;computacao e tecnologias da informacao e comunicacao (tic);56;0.55;0.0;100.0;67.24
69;universidade do vale do rio dos sinos;ciencia da computacao;0;13;43.0;132;92;computacao e tecnologias da informacao e comunicacao (tic);13;0.13;0.0;100.0;69.7
70;universidade feevale;ciencia da computacao;0;1;43.0;81;53;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;65.43
71;universidade luterana do brasil;ciencia da computacao;0;62;43.0;121;84;computacao e tecnologias da informacao e comunicacao (tic);62;0.6;0.0;100.0;69.42
72;universidade nove de julho;ciencia da computacao;0;52;35.0;1002;670;computacao e tecnologias da informacao e comunicacao (tic);52;0.51;0.0;100.0;66.87
73;universidade paulista;ciencia da computacao;0;163;35.0;2566;1784;computacao e tecnologias da informacao e comunicacao (tic);163;1.59;0.0;100.0;69.52
74;universidade presbiteriana mackenzie;ciencia da computacao;0;10;35.0;178;83;computacao e tecnologias da informacao e comunicacao (tic);10;0.1;0.0;100.0;46.63
75;universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;0;8;43.0;68;43;computacao e tecnologias da informacao e comunicacao (tic);8;0.08;0.0;100.0;63.24
76;universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;4;20;43.0;89;44;computacao e tecnologias da informacao e comunicacao (tic);24;0.23;16.67;83.33;49.44
77;universidade salvador;ciencia da computacao;0;5;29.0;153;108;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;70.59
78;universidade sao judas tadeu;ciencia da computacao;140;2;35.0;228;153;computacao e tecnologias da informacao e comunicacao (tic);142;1.39;98.59;1.41;67.11
79;universidade tiradentes;ciencia da computacao;0;12;28.0;129;58;computacao e tecnologias da informacao e comunicacao (tic);12;0.12;0.0;100.0;44.96
80;universidade veiga de almeida;ciencia da computacao;0;20;33.0;230;146;computacao e tecnologias da informacao e comunicacao (tic);20;0.2;0.0;100.0;63.48
