;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;50;614;371;negocios, administracao e direito;8.14;60.42
1;centro universitario da serra gaucha;arquitetura e urbanismo;5;186;142;engenharia, producao e construcao;2.69;76.34
2;centro universitario da serra gaucha;biomedicina;3;163;156;saude e bem-estar;1.84;95.71
3;centro universitario da serra gaucha;ciencias contabeis;6;115;94;negocios, administracao e direito;5.22;81.74
4;centro universitario da serra gaucha;design;3;136;112;artes e humanidades;2.21;82.35
5;centro universitario da serra gaucha;direito;7;231;137;negocios, administracao e direito;3.03;59.31
6;centro universitario da serra gaucha;educacao fisica;7;176;133;educacao;3.98;75.57
7;centro universitario da serra gaucha;enfermagem;3;128;82;saude e bem-estar;2.34;64.06
8;centro universitario da serra gaucha;engenharia civil;5;134;102;engenharia, producao e construcao;3.73;76.12
9;centro universitario da serra gaucha;engenharia de producao;6;118;99;engenharia, producao e construcao;5.08;83.9
10;centro universitario da serra gaucha;fisioterapia;2;113;69;saude e bem-estar;1.77;61.06
11;centro universitario da serra gaucha;nutricao;6;96;72;saude e bem-estar;6.25;75.0
12;centro universitario da serra gaucha;odontologia;2;95;82;saude e bem-estar;2.11;86.32
13;centro universitario da serra gaucha;psicologia;6;245;137;ciencias sociais, comunicacao e informacao;2.45;55.92
14;centro universitario metodista;administracao;35;123;60;negocios, administracao e direito;28.46;48.78
15;centro universitario metodista;arquitetura e urbanismo;24;94;57;engenharia, producao e construcao;25.53;60.64
16;centro universitario metodista;biomedicina;22;62;31;saude e bem-estar;35.48;50.0
17;centro universitario metodista;ciencias contabeis;47;78;28;negocios, administracao e direito;60.26;35.9
18;centro universitario metodista;comunicacao social - publicidade e propaganda;27;56;35;negocios, administracao e direito;48.21;62.5
19;centro universitario metodista;design de interiores;6;77;33;artes e humanidades;7.79;42.86
20;centro universitario metodista;direito;66;182;83;negocios, administracao e direito;36.26;45.6
21;centro universitario metodista;educacao fisica;63;272;145;saude e bem-estar;23.16;53.31
22;centro universitario metodista;enfermagem;24;106;32;saude e bem-estar;22.64;30.19
23;centro universitario metodista;engenharia civil;21;106;63;engenharia, producao e construcao;19.81;59.43
24;centro universitario metodista;engenharia de producao;36;64;38;engenharia, producao e construcao;56.25;59.38
25;centro universitario metodista;farmacia;20;39;22;saude e bem-estar;51.28;56.41
26;centro universitario metodista;fisioterapia;69;186;93;saude e bem-estar;37.1;50.0
27;centro universitario metodista;fonoaudiologia;12;25;8;saude e bem-estar;48.0;32.0
28;centro universitario metodista;jornalismo;25;41;22;ciencias sociais, comunicacao e informacao;60.98;53.66
29;centro universitario metodista;musica;43;129;86;educacao;33.33;66.67
30;centro universitario metodista;nutricao;25;76;33;saude e bem-estar;32.89;43.42
31;centro universitario metodista;pedagogia;38;67;34;educacao;56.72;50.75
32;centro universitario metodista;psicologia;51;150;69;ciencias sociais, comunicacao e informacao;34.0;46.0
