;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas;Taxa de Desistência Acumulada
0;centro universitario da serra gaucha;administracao;4;870;802;negocios, administracao e direito;0.46;92.18
1;centro universitario da serra gaucha;ciencias contabeis;7;119;101;negocios, administracao e direito;5.88;84.87
2;centro universitario da serra gaucha;design;6;223;178;artes e humanidades;2.69;79.82
3;centro universitario da serra gaucha;direito;3;205;180;negocios, administracao e direito;1.46;87.8
4;centro universitario da serra gaucha;educacao fisica;4;202;147;educacao;1.98;72.77
5;centro universitario da serra gaucha;fisioterapia;2;100;85;saude e bem-estar;2.0;85.0
6;centro universitario da serra gaucha;psicologia;11;232;215;ciencias sociais, comunicacao e informacao;4.74;92.67
7;centro universitario metodista;administracao;39;45;6;negocios, administracao e direito;86.67;13.33
8;centro universitario metodista;analise e desenvolvimento de sistemas;4;22;2;computacao e tecnologias da informacao e comunicacao (tic);18.18;9.09
9;centro universitario metodista;arquitetura e urbanismo;1;33;5;engenharia, producao e construcao;3.03;15.15
10;centro universitario metodista;biomedicina;7;64;16;saude e bem-estar;10.94;25.0
11;centro universitario metodista;ciencias biologicas;9;23;1;educacao;39.13;4.35
12;centro universitario metodista;ciencias contabeis;12;55;13;negocios, administracao e direito;21.82;23.64
13;centro universitario metodista;comunicacao social - publicidade e propaganda;14;67;3;negocios, administracao e direito;20.9;4.48
14;centro universitario metodista;design de interiores;11;80;8;artes e humanidades;13.75;10.0
15;centro universitario metodista;design de moda;10;48;5;artes e humanidades;20.83;10.42
16;centro universitario metodista;direito;22;142;24;negocios, administracao e direito;15.49;16.9
17;centro universitario metodista;educacao fisica;32;216;33;saude e bem-estar;14.81;15.28
18;centro universitario metodista;enfermagem;9;148;14;saude e bem-estar;6.08;9.46
19;centro universitario metodista;engenharia civil;6;59;8;engenharia, producao e construcao;10.17;13.56
20;centro universitario metodista;engenharia de producao;5;37;8;engenharia, producao e construcao;13.51;21.62
21;centro universitario metodista;farmacia;8;58;22;saude e bem-estar;13.79;37.93
22;centro universitario metodista;filosofia;2;13;11;educacao;15.38;84.62
23;centro universitario metodista;fisioterapia;29;173;29;saude e bem-estar;16.76;16.76
24;centro universitario metodista;fonoaudiologia;1;13;1;saude e bem-estar;7.69;7.69
25;centro universitario metodista;jornalismo;10;40;3;ciencias sociais, comunicacao e informacao;25.0;7.5
26;centro universitario metodista;musica;7;95;4;educacao;7.37;4.21
27;centro universitario metodista;nutricao;14;67;6;saude e bem-estar;20.9;8.96
28;centro universitario metodista;pedagogia;11;33;7;educacao;33.33;21.21
29;centro universitario metodista;psicologia;4;81;10;ciencias sociais, comunicacao e informacao;4.94;12.35
30;centro universitario metodista;servico social;12;33;17;saude e bem-estar;36.36;51.52
31;centro universitario metodista;terapia ocupacional;2;11;0;saude e bem-estar;18.18;0.0
32;centro universitario metodista;turismo;12;36;6;servicos;33.33;16.67
33;centro universitario uniftec;analise e desenvolvimento de sistemas;5;120;89;computacao e tecnologias da informacao e comunicacao (tic);4.17;74.17
