;Código da Instituição;Nome da Instituição;Categoria Administrativa;Organização Acadêmica;Código do Curso de Graduação;Nome do Curso de Graduação;Código da Região Geográfica do Curso;Código da Unidade Federativa do Curso;Código do Município do Curso;Grau Acadêmico;Modalidade de Ensino;Nome da área do Curso segundo a classificação CINE BRASIL;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Ano de Ingresso;Ano de Referência;Prazo de Integralização em Anos;Ano de Integralização do Curso;Prazo de Acompanhamento do Curso em anos;Ano Máximo de Acompanhamento do Curso;Quantidade de Ingressantes no Curso;Quantidade de Permanência no Curso no ano de referência;Quantidade de Concluintes no Curso no ano de referência;Quantidade de Desistência no Curso no ano de referência;Quantidade de Falecimentos no Curso no ano de referência;Taxa de Permanência - TAP;Taxa de Conclusão Acumulada - TCA;Taxa de Desistência Acumulada - TODA;Taxa de Conclusão Anual - TCAN;Taxa de Desistência Anual - TDAN
925;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1026;MEDICINA;4.0;43.0;4315602.0;1;1;Medicina;Saúde e bem-estar;2010;2019;7;2016;10;2019;72;0;2;0;0;0;95,8;4,2;2,8;0
926;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1027;CIÊNCIAS ECONÔMICAS;4.0;43.0;4315602.0;1;1;Economia;Ciências sociais, comunicação e informação;2010;2019;5;2014;8;2017;103;1;1;0;0;1;32;67;1;0
927;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1028;ADMINISTRAÇÃO;4.0;43.0;4315602.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;8;2017;102;4;0;0;0;3,9;33,3;62,7;0;0
928;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1029;OCEANOLOGIA;4.0;43.0;4315602.0;1;1;Oceanografia;Ciências naturais, matemática e estatística;2010;2019;6;2015;10;2019;44;0;0;0;0;0;79,5;20,5;0;0
929;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1033;GEOGRAFIA;4.0;43.0;4315602.0;1;1;Geografia;Ciências sociais, comunicação e informação;2010;2019;5;2014;8;2017;35;1;0;0;0;2,9;17,1;80;0;0
930;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1034;HISTÓRIA;4.0;43.0;4315602.0;2;1;História formação de professor;Educação;2010;2019;5;2014;8;2017;40;0;0;0;0;0;37,5;62,5;0;0
931;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1035;MATEMÁTICA;4.0;43.0;4315602.0;2;1;Matemática formação de professor;Educação;2010;2019;5;2014;9;2018;47;0;0;0;0;0;21,3;78,7;0;0
932;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1036;LETRAS - LÍNGUA PORTUGUESA;4.0;43.0;4315602.0;2;1;Letras português formação de professor;Educação;2010;2019;5;2014;8;2017;54;0;0;0;0;0;44,4;55,6;0;0
933;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1037;LETRAS - PORTUGUÊS E FRANCÊS;4.0;43.0;4315602.0;2;1;Letras português francês formação de professor;Educação;2010;2019;5;2014;8;2017;31;0;1;0;0;0;32,3;67,7;3,2;0
934;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;1038;ENGENHARIA CIVIL;4.0;43.0;4315602.0;1;1;Engenharia civil;Engenharia, produção e construção;2010;2019;6;2015;10;2019;67;1;1;0;0;1,5;50,7;47,8;1,5;0
