Unnamed: 0;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA;Nome da Grande Área do Curso segundo a classificação CINE BRASIL
0;centro universitário da serra gaúcha;20710;administração;4;870;0.46;97,9;negócios, administração e direito
1;centro universitário da serra gaúcha;87550;ciências contábeis;7;119;5.88;84,9;negócios, administração e direito
2;centro universitário da serra gaúcha;95914;design;6;223;2.69;79,8;artes e humanidades
3;centro universitário da serra gaúcha;67977;direito;3;205;1.46;87,8;negócios, administração e direito
4;centro universitário da serra gaúcha;50265;educação física;4;202;1.98;78,4;educação
5;centro universitário da serra gaúcha;75671;fisioterapia;2;100;2.0;85;saúde e bem-estar
6;centro universitário da serra gaúcha;81050;psicologia;11;232;4.74;92,7;ciências sociais, comunicação e informação
7;centro universitário metodista;74816;administração;39;45;86.67;13,3;negócios, administração e direito
8;centro universitário metodista;115700;análise e desenvolvimento de sistemas;4;22;18.18;9,1;computação e tecnologias da informação e comunicação (tic)
9;centro universitário metodista;91286;arquitetura e urbanismo;1;33;3.03;15,2;engenharia, produção e construção
10;centro universitário metodista;75703;biomedicina;7;64;10.94;25;saúde e bem-estar
11;centro universitário metodista;75713;ciências biológicas;9;23;39.13;4,3;educação
12;centro universitário metodista;75715;ciências contábeis;12;55;21.82;23,6;negócios, administração e direito
13;centro universitário metodista;75726;comunicação social - publicidade e propaganda;14;67;20.9;4,5;negócios, administração e direito
14;centro universitário metodista;115698;design de interiores;11;80;13.75;10;artes e humanidades
15;centro universitário metodista;96751;design de moda;10;48;20.83;10,4;artes e humanidades
16;centro universitário metodista;56442;direito;22;142;15.49;16,9;negócios, administração e direito
17;centro universitário metodista;83938;educação física;32;216;14.81;14,1;saúde e bem-estar
18;centro universitário metodista;75705;enfermagem;9;148;6.08;9,5;saúde e bem-estar
19;centro universitário metodista;91288;engenharia civil;6;59;10.17;13,6;engenharia, produção e construção
20;centro universitário metodista;91290;engenharia de produção;5;37;13.51;21,6;engenharia, produção e construção
21;centro universitário metodista;75717;farmácia;8;58;13.79;37,9;saúde e bem-estar
22;centro universitário metodista;75730;filosofia;2;13;15.38;84,6;educação
23;centro universitário metodista;9018;fisioterapia;29;173;16.76;16,9;saúde e bem-estar
24;centro universitário metodista;15763;fonoaudiologia;1;13;7.69;7,7;saúde e bem-estar
25;centro universitário metodista;87977;jornalismo;10;40;25.0;7,5;ciências sociais, comunicação e informação
26;centro universitário metodista;83945;música;7;95;7.37;4,2;educação
27;centro universitário metodista;15762;nutrição;14;67;20.9;9;saúde e bem-estar
28;centro universitário metodista;75724;pedagogia;11;33;33.33;21,2;educação
29;centro universitário metodista;110300;psicologia;4;81;4.94;12,3;ciências sociais, comunicação e informação
30;centro universitário metodista;75728;serviço social;12;33;36.36;51,5;saúde e bem-estar
31;centro universitário metodista;9017;terapia ocupacional;2;11;18.18;0;saúde e bem-estar
32;centro universitário metodista;21309;turismo;12;36;33.33;16,7;serviços
33;centro universitário uniftec;60168;análise e desenvolvimento de sistemas;5;120;4.17;74,2;computação e tecnologias da informação e comunicação (tic)
34;centro universitário uniftec;110216;comunicação institucional;2;4;50.0;100;negócios, administração e direito
35;centro universitário uniftec;101157;comércio exterior;6;47;12.77;61,7;negócios, administração e direito
36;centro universitário uniftec;122384;design de produto;4;49;8.16;73,5;artes e humanidades
37;centro universitário uniftec;119335;engenharia de computação;9;80;11.25;86,3;engenharia, produção e construção
38;centro universitário uniftec;119339;engenharia de produção;9;142;6.34;80,3;engenharia, produção e construção
39;centro universitário uniftec;104048;gestão comercial;1;85;1.18;76,5;negócios, administração e direito
40;centro universitário uniftec;102103;gestão da qualidade;5;93;5.38;68,8;negócios, administração e direito
41;centro universitário uniftec;75921;gestão da tecnologia da informação;2;55;3.64;61,8;computação e tecnologias da informação e comunicação (tic)
42;centro universitário uniftec;101151;gestão de recursos humanos;6;126;4.76;62,7;negócios, administração e direito
43;centro universitário uniftec;101192;gestão financeira;2;56;3.57;75;negócios, administração e direito
44;centro universitário uniftec;107984;logística;3;106;2.83;63,2;negócios, administração e direito
45;centro universitário uniftec;101155;marketing;5;65;7.69;73,8;negócios, administração e direito
46;centro universitário uniftec;75917;redes de computadores;6;67;8.96;71,6;computação e tecnologias da informação e comunicação (tic)
47;faculdade anglicana de erechim;103860;administração;11;32;34.38;46,9;negócios, administração e direito
48;faculdade anglicana de erechim;97206;análise e desenvolvimento de sistemas;8;28;28.57;64,3;computação e tecnologias da informação e comunicação (tic)
49;faculdade anglicana de erechim;101255;design;7;12;58.33;100;artes e humanidades
50;faculdade anglicana de erechim;101287;pedagogia;11;22;50.0;45,5;educação
51;faculdade anhanguera de caxias do sul;115184;administração;17;86;19.77;67,4;negócios, administração e direito
52;faculdade anhanguera de caxias do sul;117521;ciências contábeis;17;28;60.71;46,4;negócios, administração e direito
53;faculdade anhanguera de caxias do sul;117524;serviço social;15;41;36.59;56,1;saúde e bem-estar
54;faculdade anhanguera de passo fundo;48455;administração;66;178;37.08;53,9;negócios, administração e direito
55;faculdade anhanguera de passo fundo;68178;ciências contábeis;22;66;33.33;43,9;negócios, administração e direito
56;faculdade anhanguera de passo fundo;66395;direito;35;182;19.23;48,4;negócios, administração e direito
57;faculdade anhanguera de passo fundo;104042;gestão comercial;10;61;16.39;18;negócios, administração e direito
58;faculdade anhanguera de passo fundo;104116;gestão da tecnologia da informação;7;31;22.58;32,3;computação e tecnologias da informação e comunicação (tic)
59;faculdade anhanguera de passo fundo;104564;gestão financeira;9;28;32.14;35,7;negócios, administração e direito
60;faculdade anhanguera de pelotas;59316;administração;63;205;30.73;56,6;negócios, administração e direito
61;faculdade anhanguera de pelotas;105959;ciências biológicas;16;53;30.19;22,6;educação
62;faculdade anhanguera de pelotas;86408;direito;34;240;14.17;45,8;negócios, administração e direito
63;faculdade anhanguera de pelotas;98728;educação física;27;203;13.3;24,1;educação
64;faculdade anhanguera de pelotas;98723;enfermagem;32;167;19.16;47,3;saúde e bem-estar
65;faculdade anhanguera de pelotas;96605;gestão hospitalar;1;10;10.0;100;negócios, administração e direito
66;faculdade anhanguera do rio grande;59309;administração;50;236;21.19;58,1;negócios, administração e direito
67;faculdade anhanguera do rio grande;110654;ciências biológicas;10;18;55.56;88,9;educação
68;faculdade anhanguera do rio grande;87933;direito;65;259;25.1;48,6;negócios, administração e direito
69;faculdade anhanguera do rio grande;104382;fisioterapia;69;184;37.5;52,7;saúde e bem-estar
70;faculdade anhanguera do rio grande;99604;psicologia;24;83;28.92;55,4;ciências sociais, comunicação e informação
71;faculdade anhanguera do rio grande;96601;sistemas para internet;23;26;88.46;100;computação e tecnologias da informação e comunicação (tic)
72;faculdade cnec farroupilha;14943;administração;6;168;3.57;72;negócios, administração e direito
73;faculdade cnec farroupilha;96000;direito;2;98;2.04;87,6;negócios, administração e direito
74;faculdade cnec farroupilha;100474;pedagogia;2;71;2.82;81,7;educação
75;faculdade cnec gravataí;54552;administração;16;383;4.18;75,7;negócios, administração e direito
76;faculdade cnec gravataí;98054;ciências contábeis;9;106;8.49;71,7;negócios, administração e direito
77;faculdade cnec gravataí;104396;direito;9;162;5.56;65,4;negócios, administração e direito
78;faculdade cnec gravataí;56121;sistemas de informação;6;75;8.0;80;computação e tecnologias da informação e comunicação (tic)
79;faculdade de administração da associação brasiliense de educação;49847;administração;22;50;44.0;44;negócios, administração e direito
80;faculdade de direito de santa maria;67110;direito;10;200;5.0;69,3;negócios, administração e direito
81;faculdade de integração do ensino superior do cone sul;69253;administração;1;77;1.3;76,6;negócios, administração e direito
82;faculdade de integração do ensino superior do cone sul;119536;ciências contábeis;1;43;2.33;65,1;negócios, administração e direito
83;faculdade de integração do ensino superior do cone sul;118598;gestão comercial;2;38;5.26;63,2;negócios, administração e direito
84;faculdade de integração do ensino superior do cone sul;118600;gestão de recursos humanos;1;45;2.22;55,6;negócios, administração e direito
85;faculdade de integração do ensino superior do cone sul;95011;gestão de turismo;2;33;6.06;81,8;serviços
86;faculdade de integração do ensino superior do cone sul;95181;serviço social;3;36;8.33;94,4;saúde e bem-estar
87;faculdade de tecnologia de porto alegre;119924;análise e desenvolvimento de sistemas;3;124;2.42;79,8;computação e tecnologias da informação e comunicação (tic)
88;faculdade de tecnologia de porto alegre;119920;gestão comercial;3;107;2.8;85;negócios, administração e direito
89;faculdade de tecnologia de porto alegre;119922;processos gerenciais;3;152;1.97;84,2;negócios, administração e direito
90;faculdade de tecnologia tecbrasil - unidade novo hamburgo;122538;comércio exterior;4;23;17.39;100;negócios, administração e direito
91;faculdade de tecnologia tecbrasil - unidade novo hamburgo;122540;gestão de recursos humanos;5;43;11.63;100;negócios, administração e direito
92;faculdade de tecnologia tecbrasil - unidade novo hamburgo;122542;marketing;5;34;14.71;100;negócios, administração e direito
